,site,plot,tag,species,dbh,high.rep,molecular,longitude,latitude,time.point,days_elapsed,years_elapsed,litterMass,dowelMass,mass.loss.litter,percent.loss.litter,mass.loss.dowel,percent.loss.dowel,k_litter,VWC,pH,WHC,SIR,soil.N,soil.C,soil.CN,litter.d15N,litter.d13C,litter.N,litter.C,litter.CN,lignin.N
27,BART,3,38,ACRU,59.4,TRUE,TRUE,-71.28882458,44.06392923,1,299,0.819178082,3.489680759,2.316755559,2.18473384,38.5014842,0.041244441,1.749128124,0.593469424,22.5,4.11,0.78369834,17.17325539,1.089400138,30.03099394,27.56654135,-3.6,-28.4,0.3,49.1,163.6666667,51
28,BART,4,41,FAGR,44.9,FALSE,FALSE,-71.28869421,44.06396489,2,649,1.778082192,4.0396,0.3592,1.826157542,31.13250981,1.6568,82.18253968,0.209768683,25.84444444,4.6,0.644422163,10.3919767,0.56120605,14.01978716,24.98153249,-0.9,-28.5,0.9,48.8,54.22222222,26.55555556
29,BART,4,42,FAGR,44.9,FALSE,FALSE,-71.28869421,44.06396489,1,299,0.819178082,4.469949246,2.053346638,1.27670662,22.21651425,0.250653362,10.87905218,0.306698932,25.84444444,4.6,0.644422163,10.3919767,0.56120605,14.01978716,24.98153249,-0.9,-28.5,0.9,48.8,54.22222222,26.55555556
30,BART,5,43,FAGR,34.6,FALSE,FALSE,-71.2866807,44.0640836,2,649,1.778082192,2.399,0.3137,3.235492308,57.42296077,2.0353,86.64538101,0.480211245,12.96666667,4.49,0.622634877,10.16681017,0.524750304,14.08242821,26.83643648,-2.5,-29,0.7,48.2,68.85714286,34.14285714
31,BART,5,45,FAGR,34.6,FALSE,FALSE,-71.2866807,44.0640836,1,299,0.819178082,4.770719364,2.275889,1.019649867,17.60941015,0.001111,0.048792282,0.236455248,12.96666667,4.49,0.622634877,10.16681017,0.524750304,14.08242821,26.83643648,-2.5,-29,0.7,48.2,68.85714286,34.14285714
32,BART,6,46,ACRU,45.5,FALSE,FALSE,-71.28642944,44.06423738,1,299,0.819178082,3.553649965,2.335183013,1.881063047,34.6120033,0.022816987,0.967641537,0.518606992,18.75555556,4.24,0.707501728,18.46942283,0.924649083,22.19061258,23.9989559,-5.5,-28.6,0.5,49.4,98.8,30.6
33,BART,6,48,ACRU,45.5,FALSE,FALSE,-71.28642944,44.06423738,2,649,1.778082192,3.5513,1.8254,2.233888916,38.61393203,0.4246,18.87111111,0.274445852,18.75555556,4.24,0.707501728,18.46942283,0.924649083,22.19061258,23.9989559,-5.5,-28.6,0.5,49.4,98.8,30.6
34,BART,7,50,TSCA,34.5,FALSE,FALSE,-71.28986189,44.06423839,2,649,1.778082192,2.446,1.4666,3.117594422,56.03561629,0.7384,33.48752834,0.462177927,33.73333333,5.18,0.794891856,21.53727303,1.710408596,41.36588837,24.18479916,-2.2,-33.3,1.1,49.9,45.36363636,15.45454545
35,BART,7,51,TSCA,34.5,FALSE,FALSE,-71.28986189,44.06423839,1,299,0.819178082,3.810446541,2.317057976,1.819427563,32.31737566,0.004942024,0.21283478,0.476502856,33.73333333,5.18,0.794891856,21.53727303,1.710408596,41.36588837,24.18479916,-2.2,-33.3,1.1,49.9,45.36363636,15.45454545
36,BART,8,53,TSCA,33.5,FALSE,TRUE,-71.28852624,44.06371699,1,299,0.819178082,4.618614428,2.158787594,0.95714165,17.16613203,0.064212406,2.888547286,0.229905046,15.73333333,4.21,0.801015836,25.77615927,1.489128535,42.15345184,28.30746362,-3.2,-33.5,1,50.2,50.2,17
