"","site","plot","time.point","material","species","site.sp","perc_decomp_T1","perc_decomp_T2","LIG_N","N.per","Lig.mean","vwc.avg","MAT","Copiotroph2","Oligotroph2","C_O","r_K","CO.eggo","CO.genus.eggo","mean.CO"
"21","LENO",4,0,"soil","PITA","LENO.PITA",0.304989572,0.562971368,76.3333333333333,0.3,22.9,30.9222222222222,18.1,2042,405,1.06172839506173,0.715821812596006,1.95336787564767,3.24824355971897,1.74479041075609
"22","LENO",8,0,"soil","QUPA","LENO.QUPA5",0.492640484,0.745752629,40,0.9,36,29.4777777777778,18.1,2002,445,1.12584269662921,0.505521472392638,1.95161290322581,2.82180293501048,1.60119500181453
"23","LENO",12,0,"soil","LIST","LENO.LIST2",0.339110636,0.504966554,39.2,0.5,19.6,49.4444444444444,18.1,1919,528,0.901515151515151,0.35,0.773706896551724,3.09205020920502,1.27931806431797
"24","LENO",15,0,"soil","PITA","LENO.PITA",0.318448028,0.542583044,57.25,0.4,22.9,36.4444444444444,18.1,1947,500,0.756,0.567267683772538,1.37339055793991,3.48994974874372,1.54665199761404
"25","LENO",18,0,"soil","QUPA","LENO.QUPA5",0.410456051,0.7251138,36,1,36,35.9222222222222,18.1,2027,420,0.888095238095238,0.618556701030928,1.62032085561497,3.12686567164179,1.56345961659573
"26","LENO",19,0,"soil","LIST","LENO.LIST2",0.366250928,0.596051846,24.5,0.8,19.6,30.2333333333333,18.1,2017,430,0.758139534883721,0.473087818696884,1.20444444444444,3.57894736842105,1.50365479161152
"27","LENO",21,0,"soil","PITA","LENO.PITA",0.318051132,0.46716927,76.3333333333333,0.3,22.9,22.9111111111111,18.1,2045,402,0.90547263681592,0.616874135546335,1.7032967032967,5.7887323943662,2.25359396750629
"28","LENO",31,0,"soil","QUPA","LENO.QUPA5",0.269241312,0.477332529,32.7272727272727,1.1,36,41.3222222222222,18.1,1984,463,0.941684665226782,0.617724867724868,1.67264573991031,3.55797101449275,1.69750657183868
"29","LENO",36,0,"soil","PITA","LENO.PITA",0.320253934,0.631110648,45.8,0.5,22.9,22.9222222222222,18.1,2051,396,1.04040404040404,0.702216066481994,1.8848167539267,4.70414201183432,2.08289471816176
"30","SERC",2,0,"soil","LITU","SERC.LITU",0.547537345,0.865235607,16,0.6,9.6,31.4111111111111,13.6,1928,519,1.13872832369942,1.20719178082192,1.97378277153558,2.93413173652695,1.81345865314597
